tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
7/5/2010,54,21,30.0,36,14,54,PM10,SEDANG,JAKARTA
7/6/2010,55,20,34.0,35,19,55,PM10,SEDANG,JAKARTA
7/7/2010,63,19,37.0,37,20,63,PM10,SEDANG,JAKARTA
7/8/2010,74,18,71.0,43,22,74,PM10,SEDANG,JAKARTA
7/9/2010,51,16,34.0,39,20,51,PM10,SEDANG,JAKARTA
7/10/2010,55,16,44.0,34,20,55,PM10,SEDANG,JAKARTA
7/11/2010,58,17,43.0,33,18,58,PM10,SEDANG,JAKARTA
7/12/2010,61,16,43.0,64,29,64,O3,SEDANG,JAKARTA
7/13/2010,66,15,36.0,33,21,66,PM10,SEDANG,JAKARTA
7/14/2010,61,18,37.0,30,21,61,PM10,SEDANG,JAKARTA
7/15/2010,63,17,31.0,31,15,63,PM10,SEDANG,JAKARTA
7/16/2010,63,17,39.0,31,21,63,PM10,SEDANG,JAKARTA
7/17/2010,81,20,41.0,43,23,81,PM10,SEDANG,JAKARTA
7/18/2010,61,16,33.0,45,23,61,PM10,SEDANG,JAKARTA
7/19/2010,53,14,35.0,37,21,53,PM10,SEDANG,JAKARTA
7/20/2010,52,17,40.0,54,27,54,O3,SEDANG,JAKARTA
7/21/2010,60,17,41.0,39,22,60,PM10,SEDANG,JAKARTA
7/22/2010,62,18,39.0,60,22,62,PM10,SEDANG,JAKARTA
7/23/2010,65,25,36.0,46,20,65,PM10,SEDANG,JAKARTA
7/24/2010,55,17,30.0,45,17,55,PM10,SEDANG,JAKARTA
7/25/2010,60,16,27.0,65,17,65,O3,SEDANG,JAKARTA
7/26/2010,62,17,31.0,40,16,62,PM10,SEDANG,JAKARTA
7/27/2010,49,13,31.0,29,11,49,PM10,BAIK,JAKARTA
7/28/2010,57,22,44.0,59,24,59,O3,SEDANG,JAKARTA
7/29/2010,63,14,40.0,38,20,63,PM10,SEDANG,JAKARTA
7/30/2010,48,15,31.0,22,10,48,PM10,BAIK,JAKARTA
7/31/2010,50,16,21.0,25,10,50,PM10,BAIK,JAKARTA
8/1/2010,48,12,19.0,47,25,48,PM10,BAIK,JAKARTA
8/2/2010,57,15,36.0,57,29,57,PM10,SEDANG,JAKARTA
8/3/2010,61,13,31.0,48,17,61,PM10,SEDANG,JAKARTA
8/4/2010,68,14,16.0,52,21,68,PM10,SEDANG,JAKARTA
8/5/2010,76,16,0.0,56,26,76,PM10,SEDANG,JAKARTA
8/6/2010,60,17,38.0,59,17,60,PM10,SEDANG,JAKARTA
8/7/2010,61,13,40.0,80,32,80,O3,SEDANG,JAKARTA
8/8/2010,60,12,42.0,73,19,73,O3,SEDANG,JAKARTA
8/9/2010,61,16,40.0,77,26,77,O3,SEDANG,JAKARTA
8/10/2010,63,14,36.0,35,20,63,PM10,SEDANG,JAKARTA
8/11/2010,0,15,23.0,34,10,34,O3,BAIK,JAKARTA
8/12/2010,0,14,20.0,27,7,27,O3,BAIK,JAKARTA
8/13/2010,54,16,20.0,31,9,54,PM10,SEDANG,JAKARTA
8/14/2010,43,16,33.0,28,6,43,PM10,BAIK,JAKARTA
8/15/2010,53,15,27.0,44,11,53,PM10,SEDANG,JAKARTA
8/16/2010,60,17,34.0,37,25,60,PM10,SEDANG,JAKARTA
8/17/2010,54,14,43.0,46,15,54,PM10,SEDANG,JAKARTA
8/18/2010,60,15,45.0,74,29,74,O3,SEDANG,JAKARTA
8/19/2010,39,12,40.0,34,26,40,CO,BAIK,JAKARTA
8/20/2010,44,17,36.0,29,14,44,PM10,BAIK,JAKARTA
8/21/2010,52,14,45.0,30,15,52,PM10,SEDANG,JAKARTA
8/22/2010,48,18,28.0,71,21,71,O3,SEDANG,JAKARTA
8/23/2010,65,17,34.0,48,16,65,PM10,SEDANG,JAKARTA
8/24/2010,51,18,23.0,43,12,51,PM10,SEDANG,JAKARTA
8/25/2010,68,18,80.0,45,17,80,CO,SEDANG,JAKARTA
8/26/2010,45,15,25.0,33,17,45,PM10,BAIK,JAKARTA
8/27/2010,49,19,33.0,36,15,49,PM10,BAIK,JAKARTA
8/28/2010,48,17,45.0,67,20,67,O3,SEDANG,JAKARTA
8/29/2010,59,23,39.0,70,20,70,O3,SEDANG,JAKARTA
8/30/2010,57,17,22.0,35,15,57,PM10,SEDANG,JAKARTA
8/31/2010,52,16,27.0,35,14,52,PM10,SEDANG,JAKARTA
9/1/2010,53,16,28.0,43,16,53,PM10,SEDANG,JAKARTA
9/2/2010,56,17,35.0,44,23,56,PM10,SEDANG,JAKARTA
9/3/2010,53,16,39.0,52,22,53,PM10,SEDANG,JAKARTA
9/4/2010,47,19,32.0,44,21,47,PM10,BAIK,JAKARTA
9/5/2010,48,17,26.0,54,17,54,O3,SEDANG,JAKARTA
9/6/2010,51,15,35.0,26,19,51,PM10,SEDANG,JAKARTA
9/7/2010,56,19,45.0,30,19,56,PM10,SEDANG,JAKARTA
9/8/2010,50,16,43.0,65,21,65,O3,SEDANG,JAKARTA
9/9/2010,38,11,32.0,29,11,38,PM10,BAIK,JAKARTA
9/10/2010,51,11,45.0,39,14,51,PM10,SEDANG,JAKARTA
9/11/2010,37,13,25.0,55,12,55,O3,SEDANG,JAKARTA
9/12/2010,25,11,18.0,50,17,50,O3,BAIK,JAKARTA
9/13/2010,24,10,18.0,51,13,51,O3,SEDANG,JAKARTA
9/14/2010,28,12,26.0,42,11,42,O3,BAIK,JAKARTA
9/15/2010,36,13,34.0,42,22,42,O3,BAIK,JAKARTA
9/16/2010,36,12,28.0,21,14,36,PM10,BAIK,JAKARTA
9/17/2010,31,14,26.0,49,16,49,O3,BAIK,JAKARTA
9/18/2010,51,16,32.0,50,15,51,PM10,SEDANG,JAKARTA
9/19/2010,49,14,25.0,34,11,49,PM10,BAIK,JAKARTA
9/20/2010,37,14,30.0,39,15,39,O3,BAIK,JAKARTA
9/21/2010,41,14,30.0,30,18,41,PM10,BAIK,JAKARTA
9/22/2010,55,15,64.0,45,22,64,CO,SEDANG,JAKARTA
9/23/2010,57,20,53.0,57,25,57,PM10,SEDANG,JAKARTA
9/24/2010,55,19,49.0,58,22,58,O3,SEDANG,JAKARTA
9/25/2010,57,21,49.0,32,22,57,PM10,SEDANG,JAKARTA
9/26/2010,32,15,20.0,46,11,46,O3,BAIK,JAKARTA
9/27/2010,50,18,36.0,51,22,51,O3,SEDANG,JAKARTA
9/28/2010,37,16,31.0,71,21,71,O3,SEDANG,JAKARTA
9/29/2010,62,21,35.0,78,28,78,O3,SEDANG,JAKARTA
9/30/2010,65,19,36.0,62,23,65,PM10,SEDANG,JAKARTA
10/1/2010,54,17,32.0,100,23,100,O3,SEDANG,JAKARTA
10/2/2010,56,18,41.0,67,20,67,O3,SEDANG,JAKARTA
10/3/2010,60,16,62.0,43,19,62,CO,SEDANG,JAKARTA
10/4/2010,39,15,44.0,51,27,51,O3,SEDANG,JAKARTA
10/5/2010,54,22,39.0,63,23,63,O3,SEDANG,JAKARTA
10/6/2010,69,27,41.0,71,24,71,O3,SEDANG,JAKARTA
10/7/2010,50,17,42.0,80,30,80,O3,SEDANG,JAKARTA
10/8/2010,62,21,36.0,59,24,62,PM10,SEDANG,JAKARTA
10/9/2010,53,16,44.0,62,21,62,O3,SEDANG,JAKARTA
10/10/2010,41,19,23.0,55,14,55,O3,SEDANG,JAKARTA
10/11/2010,46,21,28.0,111,24,111,O3,TIDAK SEHAT,JAKARTA
10/12/2010,59,25,31.0,95,26,95,O3,SEDANG,JAKARTA
10/13/2010,52,17,28.0,56,19,56,O3,SEDANG,JAKARTA
10/14/2010,51,21,32.0,60,24,60,O3,SEDANG,JAKARTA
10/15/2010,49,15,46.0,43,23,49,PM10,BAIK,JAKARTA
10/16/2010,48,18,31.0,40,17,48,PM10,BAIK,JAKARTA
10/17/2010,48,17,25.0,46,15,48,PM10,BAIK,JAKARTA
10/18/2010,54,16,38.0,64,18,64,O3,SEDANG,JAKARTA
10/19/2010,47,17,31.0,69,22,69,O3,SEDANG,JAKARTA
10/20/2010,47,15,35.0,70,20,70,O3,SEDANG,JAKARTA
10/21/2010,41,17,33.0,90,21,90,O3,SEDANG,JAKARTA
10/22/2010,48,17,31.0,75,23,75,O3,SEDANG,JAKARTA
10/23/2010,56,15,59.0,66,23,66,O3,SEDANG,JAKARTA
10/24/2010,52,15,35.0,37,17,52,PM10,SEDANG,JAKARTA
10/25/2010,43,18,38.0,58,23,58,O3,SEDANG,JAKARTA
10/26/2010,37,15,48.0,32,18,48,CO,BAIK,JAKARTA
10/27/2010,43,17,34.0,70,21,70,O3,SEDANG,JAKARTA
10/28/2010,40,16,32.0,69,22,69,O3,SEDANG,JAKARTA
10/29/2010,49,18,32.0,57,21,57,O3,SEDANG,JAKARTA
10/30/2010,57,19,37.0,55,19,57,PM10,SEDANG,JAKARTA
10/31/2010,39,12,30.0,36,14,39,PM10,BAIK,JAKARTA
11/1/2010,44,15,25.5,25,11,44,PM10,SEDANG,JAKARTA
11/2/2010,33,14,18.0,25,8,33,PM10,BAIK,JAKARTA
11/3/2010,56,18,32.0,48,18,56,PM10,SEDANG,JAKARTA
11/4/2010,54,17,47.0,45,12,54,PM10,SEDANG,JAKARTA
11/5/2010,31,13,27.0,54,11,54,O3,SEDANG,JAKARTA
11/6/2010,49,14,30.0,36,16,49,PM10,BAIK,JAKARTA
11/7/2010,69,13,23.0,80,14,80,O3,SEDANG,JAKARTA
11/8/2010,32,13,19.0,56,8,56,O3,SEDANG,JAKARTA
11/9/2010,50,15,28.0,78,14,78,O3,SEDANG,JAKARTA
11/10/2010,56,20,39.0,215,26,215,O3,SANGAT TIDAK SEHAT,JAKARTA
11/11/2010,56,20,30.0,126,20,126,O3,TIDAK SEHAT,JAKARTA
11/12/2010,44,18,23.0,81,9,81,O3,SEDANG,JAKARTA
11/13/2010,43,16,28.0,123,18,123,O3,TIDAK SEHAT,JAKARTA
11/14/2010,54,15,40.0,67,23,67,O3,SEDANG,JAKARTA
11/15/2010,51,19,30.0,130,17,130,O3,TIDAK SEHAT,JAKARTA
11/16/2010,64,19,34.0,137,24,137,O3,TIDAK SEHAT,JAKARTA
11/17/2010,61,17,55.0,136,17,136,O3,TIDAK SEHAT,JAKARTA
11/18/2010,61,16,36.0,206,38,206,O3,SANGAT TIDAK SEHAT,JAKARTA
11/19/2010,68,20,49.0,148,28,148,O3,TIDAK SEHAT,JAKARTA
11/20/2010,67,19,35.0,195,24,195,O3,TIDAK SEHAT,JAKARTA
11/21/2010,68,18,36.0,154,22,154,O3,TIDAK SEHAT,JAKARTA
11/22/2010,57,19,38.0,238,30,238,O3,SANGAT TIDAK SEHAT,JAKARTA
11/23/2010,69,18,39.0,112,24,112,O3,TIDAK SEHAT,JAKARTA
11/24/2010,72,26,39.0,146,23,146,O3,TIDAK SEHAT,JAKARTA
11/25/2010,52,17,28.0,190,19,190,O3,TIDAK SEHAT,JAKARTA
11/26/2010,70,21,35.0,172,26,172,O3,TIDAK SEHAT,JAKARTA
11/27/2010,62,17,49.0,189,23,189,O3,TIDAK SEHAT,JAKARTA
11/28/2010,60,17,43.0,92,23,92,O3,SEDANG,JAKARTA
11/29/2010,67,19,37.0,93,26,93,O3,SEDANG,JAKARTA
11/30/2010,66,16,32.0,74,19,74,O3,SEDANG,JAKARTA
12/1/2010,58,17,26.0,80,12,80,O3,SEDANG,JAKARTA
12/2/2010,63,21,30.0,80,14,80,O3,SEDANG,JAKARTA
12/3/2010,68,31,34.0,82,14,82,O3,SEDANG,JAKARTA
12/4/2010,74,24,32.0,46,18,74,PM10,SEDANG,JAKARTA
12/5/2010,60,15,38.0,30,8,60,PM10,SEDANG,JAKARTA
12/6/2010,55,14,24.0,34,13,55,PM10,SEDANG,JAKARTA
12/7/2010,54,14,23.0,30,7,54,PM10,SEDANG,JAKARTA
12/8/2010,61,14,19.0,32,9,61,PM10,SEDANG,JAKARTA
12/9/2010,56,14,23.0,58,14,58,O3,SEDANG,JAKARTA
12/10/2010,63,16,23.0,50,9,63,PM10,SEDANG,JAKARTA
12/11/2010,54,13,20.0,38,12,54,PM10,SEDANG,JAKARTA
12/12/2010,56,13,21.0,43,15,56,PM10,SEDANG,JAKARTA
12/13/2010,67,16,22.0,83,15,83,O3,SEDANG,JAKARTA
12/14/2010,82,20,32.0,56,17,82,PM10,SEDANG,JAKARTA
12/15/2010,58,19,34.0,119,19,119,O3,TIDAK SEHAT,JAKARTA
12/16/2010,41,19,27.0,44,15,44,O3,BAIK,JAKARTA
12/17/2010,38,20,20.0,36,9,38,PM10,BAIK,JAKARTA
12/18/2010,34,15,27.0,33,11,34,PM10,BAIK,JAKARTA
12/19/2010,49,13,19.0,32,10,49,PM10,BAIK,JAKARTA
12/20/2010,51,17,26.0,33,11,51,PM10,SEDANG,JAKARTA
12/21/2010,40,16,27.0,32,12,40,PM10,BAIK,JAKARTA
12/22/2010,55,14,34.0,33,13,55,PM10,SEDANG,JAKARTA
12/23/2010,59,20,41.0,38,13,59,PM10,SEDANG,JAKARTA
12/24/2010,62,19,32.0,241,23,241,O3,SANGAT TIDAK SEHAT,JAKARTA
12/25/2010,65,28,27.0,80,15,80,O3,SEDANG,JAKARTA
12/26/2010,65,18,23.0,52,12,65,PM10,SEDANG,JAKARTA
12/27/2010,38,19,22.0,54,14,54,O3,SEDANG,JAKARTA
12/28/2010,45,15,23.0,57,17,57,O3,SEDANG,JAKARTA
12/29/2010,42,16,25.0,40,14,42,PM10,BAIK,JAKARTA
12/30/2010,38,18,24.0,40,15,40,O3,BAIK,JAKARTA
12/31/2010,33,19,21.0,34,15,34,O3,BAIK,JAKARTA
1/1/2011,52,17,51.0,76,7,76,O3,SEDANG,JAKARTA
1/2/2011,35,15,15.0,47,11,47,O3,BAIK,JAKARTA
